Paket,Sequenz,Delta (ms),Jitter (ms),Versatz,Bandbreite
159,0,0,0,0,1.76
160,1,9.835213999998814,0.6352991250000741,10.164786000001186,3.52
164,2,19.814995000000636,0.6071557421875298,10.34979100000055,5.28
165,3,10.231793999999354,1.1797213833008495,20.117997000001196,7.04
166,4,40.27703499999916,2.373303484344494,-0.1590379999979632,8.8
167,5,0.035703000001376495,3.4727405790728767,19.80525900000066,10.56
169,6,29.492753999998968,3.8489914178807574,10.312505000001693,12.32
171,7,10.680453000000853,4.190901141763157,19.63205200000084,14.08
176,8,29.63034400000106,4.530866320403026,10.00170799999978,15.84
179,9,19.351004999996803,4.288249362878037,10.650703000002977,17.6
182,10,20.419324000002234,4.0464415276983,10.231379000000743,19.36
184,11,10.344030000000203,4.397037057217144,19.88734900000054,21.12
187,12,39.74153099999967,5.3560679286410515,0.14581800000087242,22.88
189,13,9.310294999999314,5.6894202456010285,10.835523000001558,24.64
191,14,30.667113999999856,6.000526105250955,0.16840900000170222,26.4
193,15,9.308191000000079,6.293731286172766,10.860218000001623,28.16
195,16,30.609122000001662,6.563443205787071,0.25109599999996135,29.92
197,17,10.26284499999747,6.761800192925538,9.988251000002492,31.68
199,18,29.495960000000196,6.932685180867704,0.49229100000229664,33.44
201,19,10.231496000000334,7.1099238570634515,10.260795000001963,35.2
202,20,29.46945400000186,7.257394490997102,0.7913410000001022,36.96
205,21,10.263610999998491,7.412331647809878,10.527730000001611,38.72
207,22,30.54807499999879,7.608315607321685,-0.020344999997178093,40.48
209,23,9.248024000000441,7.804794381864052,10.73163100000238,42.24
212,24,30.570020999999542,7.97762104549752,0.1616100000028382,44
214,25,9.21374100000321,8.153160917653725,10.947868999999628,45.76
216,26,30.72608599999876,8.31396873530029,0.22178300000086892,47.52
219,27,9.275251999999455,8.464642439344054,10.946531000001414,49.28
221,28,30.738272999999026,8.60674434938499,0.20825800000238814,51.04
222,29,10.176081000001432,8.682817765048338,10.032177000000956,52.8
225,30,29.63184999999794,8.742132279732688,0.400327000003017,54.56
227,31,10.307125000002998,8.801553699749208,10.09320200000002,56.32
230,32,29.588271000000532,8.850723531014916,0.5049309999994875,58.08
232,33,10.177884999997332,8.91143549782665,10.327046000002156,59.84
234,34,29.62234299999909,8.955867216712427,0.7047030000030645,61.6
236,35,10.237408000000869,9.006287515667847,10.467295000002196,63.36
239,36,29.545163999999204,9.039967295938556,0.9221310000029916,65.12
240,37,10.16463400000066,9.089679714942354,10.757497000002331,66.88
243,38,30.819023000000016,9.197763670258459,-0.061525999997684266,68.64
245,39,9.241862000002584,9.295287065867143,10.696611999999732,70.4
247,40,30.482586999998603,9.36949331175036,0.21402500000112923,72.16
249,41,10.178497000000789,9.397743917265913,10.03552800000034,73.92
250,42,29.505286999999953,9.40446535993679,0.5302410000003874,75.68
252,43,10.15951700000005,9.431716462440738,10.370724000000337,77.44
255,44,29.51498999999967,9.436921058538172,0.8557340000006661,79.2
256,45,10.144791999999143,9.46306399237959,10.710942000001523,80.96
258,46,30.462585000001127,9.525534055355935,0.2483570000003965,82.72
261,47,10.183501999999862,9.543719301896198,10.064855000000534,84.48
262,48,29.610123999998905,9.547869595527617,0.4547310000016296,86.24
264,49,10.318944999999076,9.556193683307198,10.135786000002554,88
267,50,19.391214000002947,8.996980703100315,10.744571999999607,89.76
269,51,20.383459999997285,8.458635659156375,10.361112000002322,89.76
272,52,19.46172200000001,7.963613305459101,10.899390000002313,89.76
274,53,20.41899299999932,7.4920745363678645,10.480397000002995,88
276,54,20.445788000000903,7.051681627844929,10.034609000002092,89.76
278,55,19.335587000001397,6.652477338604534,10.699022000000696,88
280,56,20.352657999999792,6.258738629941737,10.346364000000904,89.76
283,57,20.340799000001425,5.888867403070468,10.005564999999478,88
