Paket,Sequenz,Delta (ms),Jitter (ms),Versatz,Bandbreite
177,0,0,0,0,1.76
178,1,3.4318920000005164,1.0355067499999677,16.568107999999484,3.52
183,2,29.228703000000678,1.5475815156250121,7.339404999998806,5.28
185,3,10.525200999996741,2.0430326083986525,16.814204000002064,7.04
186,4,31.042271000002074,2.6054850078738663,5.77193299999999,8.8
188,5,9.070511999998416,3.1257351948818486,16.701421000001574,10.56
190,6,22.09496200000285,3.0613118702019113,14.606458999998722,12.32
192,7,16.96203699999751,3.0598525658144475,17.644422000001214,14.08
194,8,22.9019100000005,3.049981155451076,14.742512000000715,15.84
196,9,23.74454500000138,3.0933913957354697,10.997966999999335,17.6
198,10,22.556563999998616,3.0598396835019166,8.441403000000719,19.36
200,11,11.978376999999455,3.3699511407830807,16.463026000001264,21.12
203,12,41.66053500000271,4.513112631984308,-5.197509000001446,22.88
204,13,3.183934999997291,5.282047154985458,11.618556000001263,24.64
206,14,28.560881000001245,5.486974270298944,3.0576750000000175,26.4
208,15,9.676057000000583,5.789284815905224,13.381617999999435,28.16
211,16,32.5715139999993,6.213174139911104,0.8101040000001376,29.92
213,17,9.297600999998394,6.49375069366676,11.512503000001743,31.68
217,18,32.057293000001664,6.841472087812692,-0.5447899999999208,33.44
218,19,7.429810999998153,7.199516894824514,12.025399000001926,35.2
220,20,26.849412999999913,7.177635401397977,5.175986000002013,36.96
223,21,18.497847000002366,6.822917751310455,6.678138999999646,38.72
224,22,25.353048000000854,6.731050891853605,1.3250909999987925,40.48
226,23,10.480561999997008,6.905325086112942,10.844529000001785,42.24
229,24,29.790469999999914,7.085646643230878,1.054059000001871,44
231,25,7.543214000001171,7.421342853028875,13.5108450000007,45.76
235,26,37.5957899999994,8.057245799714533,-4.084944999998697,47.52
237,27,7.285691000000952,8.348312249732315,8.62936400000035,49.28
238,28,21.560891000000993,7.924098421624107,7.068472999999358,51.04
241,29,20.075956000000588,7.433589520272637,6.99251699999877,52.8
242,30,26.1951029999982,7.356184112755485,0.7974140000005718,54.56
244,31,7.790759999999864,7.659500105708275,13.006654000000708,56.32
246,32,26.600094000001263,7.593287224101587,6.406559999999445,58.08
248,33,13.327696000000287,7.53572577259522,13.078863999999157,59.84
251,34,33.91474599999856,7.934414536807929,-0.8358819999994012,61.6
253,35,10.42800200000056,8.036763503257397,8.736116000000038,63.36
