Packet,Sequence,Delay,Jitter,Skew,Bandwidth
109,0,0,0,0,1.024
112,1,21.22923599999922,0.07682724999995116,-1.2292359999992186,2.16
116,2,28.65180700000019,0.6127634843749661,-9.881042999999408,3.32
117,3,5.109076000000641,1.5051485166014906,5.00988099999995,4.488
119,4,9.275604999998905,2.0813514218139657,15.734276000001046,5.648
123,5,42.66805999999997,3.368020707950591,-6.933783999998923,6.672
125,6,26.19390200000089,3.5446382887037347,-13.127685999999812,7.736
126,7,0.2456899999997404,4.557742770659767,6.626624000000447,8.768
132,8,50.855938000000606,6.201379972493569,-24.22931400000016,9.824
133,9,0.9933009999986098,7.001712411712808,-5.222614999998768,10.904
134,10,5.71668099999988,7.456812823480766,9.060704000001351,11.976
136,11,25.294706000000588,7.321681147013255,3.7659980000007636,13.056
138,12,15.286716000000524,7.158656325324894,8.47928200000024,14.096
140,13,17.948871999999028,6.839435804992148,10.530410000001211,15.128
143,14,33.21690800000033,7.23802781718016,-2.686497999999119,16.112
145,16,28.139310000000478,7.52694420360637,9.174192000000403,17.152
148,17,46.38143499999933,8.705349878380929,-17.207242999998925,18.136
151,18,23.940645000000586,8.407555823482157,-21.14788799999951,19.152
152,19,6.11746900000071,8.749741772014477,-7.265357000000222,20.152
154,20,27.953655999999683,8.699986411263552,-15.219012999999904,21.16
155,21,2.458450999998604,9.252584073059667,2.3225360000014916,22.192
159,22,38.99065900000096,9.861213755993498,-16.66812299999947,23.2
160,23,1.4272099999998318,10.405687271243915,1.9046670000006998,24.216
162,24,20.89251200000035,9.811113816791192,1.012155000000348,25.288
164,25,9.842287999999826,9.832776203241753,11.169867000000522,26.344
166,26,23.667774999999892,9.447463628039136,7.50209200000063,27.416
171,27,41.562088000000585,10.204627651286726,-14.059995999999956,28.44
174,28,21.14166800000021,9.638192673081319,-15.201664000000164,29.496
175,29,0.0013989999988552881,10.285718193513809,4.79693700000098,30.488
177,30,14.453494000001228,9.989517431419118,10.343442999999752,31.52
180,31,29.217494999998962,9.941266029455358,1.1259480000007898,32.584
181,32,14.105773000001136,9.688326090114327,7.020174999999654,33.664
184,33,46.910281999998915,10.764698334482114,-19.89010699999926,34.744
187,35,31.119651000000886,10.646926501076926,-11.009758000000147,35.856
192,36,17.13592499999868,10.1604982822597,-8.145682999998826,37.04
194,37,21.20656500000041,9.600877452118494,-9.352247999999236,38.04
195,38,3.0195999999996275,10.062097611361112,7.628152000001137,39.096
197,39,17.973606000001382,9.559866135650957,9.654545999999755,40.144
200,40,51.369886999998926,10.922992439672704,-21.71534099999917,41.28
201,41,0.0015930000008665957,11.490205849693107,-1.7169340000000375,42.44
202,42,3.59414999999899,11.797433609087351,14.688916000000972,43.576
206,43,33.20575500000086,11.885453696019445,1.4831610000001092,44.688
208,45,40.33179500000006,11.163350027518232,1.1513660000000527,45.792
212,46,33.12204799999927,11.285768650798298,-11.970681999999215,46.92
213,47,27.437121999999363,11.045228235123364,-19.407803999998578,48.112
214,48,3.9184950000017125,11.359995532928046,-3.32629900000029,49.24
218,49,32.679197999999815,11.442445687120031,-16.005497000000105,50.376
220,50,15.95782599999984,10.97992870667504,-11.963322999999946,50.464
222,51,10.840006999998877,10.86618272500792,-2.803329999998823,50.432
225,52,8.095365000001038,10.93108599219486,9.101305000000139,51.56
227,53,29.543464999998832,10.84435968018261,-0.4421599999986938,50.328
229,54,7.034714000001259,10.976917575171118,12.523126000000047,50.336
233,55,42.55729699999938,11.700691289222885,-10.034170999999333,50.416
235,56,20.21156499999961,10.98262089614643,-10.245735999998942,51.576
236,57,0.0016869999999471474,11.546101652637281,9.75257700000111,52.608
239,58,42.776928000001135,12.248028299347522,-13.024351000000024,51.568
241,59,12.9297889999998,11.924414718138316,-5.954139999999825,50.456
243,60,24.024572000000262,11.430674548254688,-9.978712000000087,50.416
244,61,0.001073999999789521,11.966190263988782,10.020214000000124,51.504
247,63,46.13036800000009,11.601451372489489,3.889846000000034,49.512
250,64,36.513036000000284,11.908425411708913,-12.62319000000025,49.648
252,65,17.390172999999777,11.32726301097712,-10.013363000000027,50.816
253,66,8.047565999999279,11.366336197791096,1.9390710000006948,50.896
256,67,27.426133999999365,11.120073560429113,-5.48706299999867,52.016
258,68,34.84844100000009,11.353096525402298,-20.335503999998764,52.216
260,69,13.586062000000311,11.044399117564636,-13.921565999999075,51.336
263,70,27.465727000000697,10.82073211021689,-21.387292999999772,50.44
264,71,6.578411000000415,10.983285665828308,-7.965704000000187,51.608
266,72,34.73787899999843,11.217947749213941,-22.703582999998616,50.696
268,73,20.698906000001443,10.56050763988816,-23.40248900000006,50.792
272,74,20.123115000000325,9.90817059989517,-23.525604000000385,50.888
273,75,0.5600109999995766,10.50390924990175,-4.085614999999962,52.024
274,76,1.888238999999885,10.979399984282898,14.026146000000153,53.12
280,77,60.83126599999923,12.845141610265168,-26.80511999999908,52.168
282,78,9.403287000001,12.704614822123533,-16.20840700000008,51.264
283,79,0.0012129999995522667,13.16050058324084,3.7903800000003685,52.416
286,81,36.81355099999928,12.537122359288333,6.976829000001089,52.584
288,82,25.929605999999694,12.124152586832793,1.0472230000013951,51.608
289,83,5.103457000001072,12.297426987655676,15.943766000000323,52.752
293,84,56.37745299999915,13.802428613427143,-20.433686999998827,52.776
295,85,18.359158000001116,13.042329450087877,-18.792844999999943,52.808
298,86,27.154646999999386,12.674349296957345,-25.94749199999933,52.736
299,87,0.207723999999871,13.119219715897518,-6.1552159999992,53.816
301,88,11.391154000000824,12.837321358653872,2.4536299999999756,52.864
302,89,17.943336000000272,12.163530273737988,4.510293999999703,52.984
304,90,19.461680999998862,11.436954569129435,5.048613000000842,54.144
306,91,12.820955999999569,11.170835158558873,12.227657000001273,55.28
309,92,38.3482640000002,11.619424461148956,-6.120606999998927,53.008
311,93,34.371705999999904,11.79144205732714,-20.49231299999883,53.096
312,94,2.873763000001418,12.124866741244105,-3.3660760000002483,54.272
314,95,3.7298619999983202,12.383946194916454,12.904062000001431,55.328
316,96,28.575465000001714,12.145916120234283,4.328596999999718,55.344
319,97,36.77134399999886,12.435005362719568,-12.442746999999144,55.32
320,98,2.462368000000424,12.753919527549568,5.094885000000431,56.464
322,99,16.757910000000265,12.159430182077704,8.336975000000166,55.24
327,100,47.23532399999931,13.101673545697805,-18.898348999999143,54.048
328,101,3.150934999999663,13.335885511591714,-2.0492839999988064,55.104
333,102,45.11999000000105,14.072392042117297,-27.16927399999986,52.864
334,103,2.2265129999996134,14.30371047698499,-9.395786999999473,52.792
335,104,0.4758590000001277,14.62998738467342,10.1283540000004,53.904
338,105,23.148997000000236,13.912425485631346,6.979357000000164,55.064
340,106,18.184384000000136,13.156374892779379,8.794973000000027,55.104
343,108,32.746987999998964,12.787414711980732,16.047985000001063,54.072
367,109,57.83030599999984,14.352595417481925,-21.782320999998774,53.2
368,110,0.05745000000024447,14.70196757888929,-1.8397709999990184,54.448
369,111,3.8791290000008303,14.790649042708658,14.281100000000151,55.6
379,112,36.16189800000029,14.876352102539386,-1.8807980000001407,54.632
381,113,42.10600599999998,15.328205471130673,-23.98680400000012,54.616
382,114,0.11095599999862316,15.613257879185092,-4.097759999998743,55.776
385,115,30.95100000000093,15.321866761736082,-15.048759999999675,54.672
392,116,17.380788000000393,14.527950839127552,-12.429548000000068,54.696
393,117,2.1749829999989743,14.734017474182144,5.395469000000958,55.8
402,118,46.88710700000047,15.49358556954579,-21.49163799999951,54.672
403,119,2.4432190000006813,15.622535283949135,-3.934857000000193,55.752
405,120,27.157085999999254,15.093444703702268,-11.091942999999446,55.736
413,122,44.47192899999936,14.429599972220837,-15.56387199999881,54.528
415,123,4.679320000001098,14.485292473956966,-0.24319199999990815,55.544
416,124,4.11822199999915,14.572572819334708,15.638586000000942,55.48
420,125,38.93810200000007,14.845418393126293,-3.29951599999913,55.36
421,126,11.951108999999633,14.420635431055922,4.749375000001237,53.008
