Packet,Sequence,Delay,Jitter,Skew,Bandwidth
849,0,0,0,0,10.4
851,1,3.4110319999999774,0.2131894999999986,-3.4110319999999774,20.8
852,2,0.42628700000022945,0.22650809375001302,-3.837319000000207,31.2
853,3,0.03943100000105915,0.2148157753907034,-3.876750000001266,37.776
854,4,2.734975999999733,0.37232578942876776,-6.611726000000999,48.176
855,5,0.4858779999995022,0.37942280258943867,-7.097604000000501,58.576
856,6,0.018420000000332948,0.3568601274276196,-7.116024000000834,63.472
857,7,0.010952000000543194,0.3352408694634273,-7.1269760000013775,73.872
858,8,0.3459359999997105,0.335909315121945,-7.472912000001088,84.272
860,9,0.045006000000284985,0.3177278579268412,-7.517918000001373,88.608
861,10,0.0016049999994720565,0.29797017930638064,-7.519523000000845,99.008
862,11,0.0016839999989315402,0.2794522930996651,-7.521206999999777,109.408
863,12,0.2658060000012483,0.278599399781014,-7.787013000001025,113.696
864,13,3.6951809999991383,0.49213574979464675,-11.482194000000163,124.096
865,14,0.20518400000037218,0.47420126543250457,-11.687378000000535,134.496
866,15,0.001388000000588363,0.4446504363430098,-11.688766000001124,136.52
896,16,128.63677499999903,5.956658221571511,-100.32554100000016,143.984
898,17,1.4871540000003733,5.677314207723315,-101.81269500000053,146.672
899,18,0.004468999999517109,5.322761382240578,-101.81716400000005,149.432
900,19,0.0007830000013200333,4.9901377333506245,-101.81794700000137,152.016
901,20,0.3355619999983901,4.69922675001611,-102.15350899999976,154.768
913,21,58.65697,10.739464453140103,-0.8104789999997593,163.296
914,22,1.2005180000014661,10.143280299818938,-2.0109970000012254,167.336
915,23,0.0038789999998698477,9.509567718580247,-2.0148760000010952,171.72
916,24,6.174377999999706,9.301118361168962,-8.189254000000801,176.432
917,25,0.6733279999989463,8.761881463595836,-8.862581999999747,180.584
930,26,57.46597700000166,8.997640309620992,3.6714409999985946,189.528
931,27,4.96425199999976,8.745553540269665,-1.2928110000011657,196.264
932,28,0.034577999998873565,8.20111756900274,-1.3273890000000392,202.496
933,29,0.47630300000128045,7.718316658440148,-1.8036920000013197,209.488
934,30,0.037892999998803134,7.2382901797875645,-1.8415850000001228,215.992
954,31,72.40837100000135,6.936420231050926,-4.249956000001475,224.584
955,32,0.9936699999998382,6.564998341610233,-5.2436260000013135,233.024
956,33,0.16908199999852513,6.165253570259501,-5.412707999999839,241.608
957,34,0.24113300000135496,5.794996034618367,-5.653841000001194,249.92
958,35,0.005862999998498708,5.4331752199546255,-5.659703999999692,257.2
975,36,59.51873800000067,5.12368064370742,-5.178442000000359,266.504
976,37,0.26430400000026566,4.819969603475723,-5.442746000000625,276.032
977,38,0.00908499999968626,4.519289315758471,-5.451831000000311,285.72
978,39,0.022983000000749598,4.238270171023613,-5.474814000001061,295.456
979,40,0.008039000000280794,3.9738807228346547,-5.482853000001342,303.44
996,41,61.46340099999907,4.2590506151575465,3.0537459999995917,312.744
997,42,3.5554599999995844,4.215076201710174,-0.5017139999999927,323.144
998,43,0.7881080000006477,4.000890689103328,-1.2898220000006404,324.776
999,44,3.5377929999995104,3.9719470835343396,-4.827615000000151,335.176
1000,45,0.003969000001234235,3.7239484533135205,-4.831584000001385,338.104
1001,46,0.058685999998488114,3.494869549981331,-4.890269999999873,348.504
1002,47,1.294519000000946,3.357347640607557,-6.184789000000819,350.36
1003,48,2.512641999999687,3.304553538069565,-8.697431000000506,360.76
1004,49,0.0007789999999658903,3.0980676294402154,-8.698210000000472,361.72
1023,50,64.83603399999993,3.2271862776002065,-3.534244000000399,371.416
1024,51,0.06865699999980279,3.0297781977501814,-3.6029010000002017,381.816
1025,52,0.005001999999876716,2.8407296853907873,-3.6079030000000785,385.296
1026,53,0.9392070000012609,2.721884517553942,-4.547110000001339,395.696
1027,54,0.0049539999999979045,2.5520763602068204,-4.552064000001337,400.68
1028,55,2.5635480000000825,2.5527933376938994,-7.11561200000142,411.08
1029,56,0.7079269999994722,2.4374891915879977,-7.823539000000892,414.544
1030,57,0.4676309999995283,2.3143730546137182,-8.29117000000042,424.944
1031,58,0.00537600000097882,2.170060738700422,-8.296546000001399,427.736
1047,59,55.70960500000001,2.302581630031645,-4.00615100000141,436.776
1048,60,0.16958599999998114,2.169269403154666,-4.175737000001391,447.176
1049,61,0.0013369999996939441,2.0337736279574803,-4.177074000001085,448.744
1050,62,0.20001099999899452,1.919163463710075,-4.377085000000079,459.144
1051,63,3.7257399999998597,2.0320744972281863,-8.102824999999939,462.288
1052,64,0.007448000000294996,1.905535341151443,-8.110273000000234,472.688
1053,65,0.03820600000108243,1.7888272573295456,-8.148479000001316,474.416
1054,66,0.01055399999859219,1.6776851787463611,-8.159032999999908,484.816
1055,67,0.0011110000014014076,1.572899292574801,-8.16014400000131,485.736
1062,68,64.06852799999979,1.8453100867888894,-2.2286720000010973,495.008
1063,69,0.67341099999976,1.7720663938645689,-2.9020830000008573,505.408
1064,70,0.2014209999997547,1.673901056748018,-3.103504000000612,508.92
1065,71,0.013501999999789405,1.5701261157012536,-3.1170060000004014,519.32
1066,72,0.002089999999952852,1.4721238584699223,-3.1190960000003543,524.512
1067,73,0.18241200000011304,1.3915168673155593,-3.3015080000004673,534.912
1068,74,0.9527479999997013,1.3640938131083182,-4.254256000000169,539.392
1069,75,0.21869300000071235,1.2925062622890928,-4.472949000000881,549.792
1070,76,0.0019959999990533106,1.2118493708959654,-4.474944999999934,552.368
1096,77,64.06173500000114,1.5072503477148966,1.4633199999989301,561.664
1097,78,0.006477999999333406,1.4134520759826739,1.4568419999995967,572.064
1098,79,0.5574959999994462,1.359954821233722,0.8993460000001505,574.96
1100,80,5.109194000000571,1.5942822699066501,-4.20984800000042,585.36
1101,81,0.00812700000096811,1.495147565537545,-4.217975000001388,589.128
1102,82,0.08748899999955029,1.4071689051914205,-4.3054640000009385,599.528
1103,83,0.005176999999093823,1.3195444111169001,-4.310641000000032,602.912
1104,84,0.16839100000106555,1.2475973229221604,-4.479032000001098,613.312
1105,85,0.312432999999146,1.189149552739472,-4.791465000000244,615.072
1127,86,100.22844600000099,1.1291055806933166,-5.01991100000123,624.312
1128,87,0.3214699999989534,1.0786283568999189,-5.341381000000183,634.712
1129,88,0.19331600000077742,1.0232963345937225,-5.5346970000009605,639.576
1130,89,0.008227999998780433,0.9598545636815387,-5.542924999999741,649.976
1131,90,0.08634500000152912,0.905260215951538,-5.62927000000127,656.048
1133,91,0.8306729999985691,0.9005985149544775,-6.459942999999839,666.448
1134,92,4.622244000000137,1.1332013577698312,-11.082186999999976,671.24
1135,93,0.012400999999954365,1.063151335409214,-11.09458799999993,681.64
1136,94,0.0017250000000785803,0.9968121894461429,-11.09631300000001,685.088
1139,95,14.46589800000038,1.9053928026057352,4.437788999999611,695.488
1140,96,9.580501000000368,2.3850870649428995,-5.142712000000756,696.128
1141,97,0.02961899999900197,2.2378703108839058,-5.172330999999758,706.528
1142,98,0.07200800000100571,2.1025039164537245,-5.244339000000764,714.904
1143,99,0.09418499999992491,1.976983984175362,-5.338524000000689,725.304
1144,100,1.0722060000007332,1.9204353601644477,-6.410730000001422,734.832
1145,101,0.21862999999939348,1.8140725251541319,-6.6293600000008155,745.232
1146,102,0.3940089999996417,1.7253185548319763,-7.023369000000457,753.552
1147,103,0.009857999999439926,1.6181022701549428,-7.033226999999897,763.952
1148,104,0.010867000000871485,1.5176500657703134,-7.044094000000769,769.8
1181,105,68.47038900000007,1.5183976241596646,-5.514483000000837,778.736
1182,106,5.19571999999971,1.7482302726496675,-10.710203000000547,789.136
1183,107,0.6238819999998668,1.677958505609055,-11.334085000000414,795.576
1184,108,0.008605000000898144,1.573623911508545,-11.342690000001312,805.976
1185,109,0.006269999999858555,1.4756642920392522,-11.34896000000117,812.832
1186,110,0.009172000000035041,1.3840085237868012,-11.358132000001206,823.232
1187,111,0.006588000000192551,1.2979197410501382,-11.364720000001398,830.488
1188,112,0.46979599999940547,1.2461620072344675,-11.834516000000804,840.888
1189,113,0.0014030000002094312,1.1683645692823263,-11.835919000001013,846.456
1216,114,89.11296000000038,1.775781783702157,-0.9488790000013978,720.336
1217,115,4.103940999999395,1.9212917347207343,-5.052820000000793,721.36
1218,116,1.5939579999994749,1.9008333763006555,-6.646778000000268,731.76
1219,117,0.18478200000026845,1.7935801652818812,-6.831560000000536,739.288
1220,118,0.16507799999999406,1.6917987799517633,-6.99663800000053,749.688
1221,119,0.007637000000613625,1.5865386687048164,-7.004275000001144,758.256
1222,120,0.010010999998485204,1.4880056894106708,-7.014285999999629,768.656
1223,121,3.73904500000026,1.6286956463225202,-10.75333099999989,776.192
1224,122,0.4950600000011036,1.5578434184274317,-11.248391000000993,786.592
1225,123,0.0072000000000116415,1.460928204775718,-11.255591000001004,793.248
1242,124,24.91823199999999,1.6872306919772362,-6.1738230000009935,803.648
1243,125,0.5782139999992069,1.6179171487286093,-6.7520370000002,806.84
1244,126,0.6090000000003783,1.5548598269330949,-7.361037000000579,817.24
1245,127,0.0068859999992128,1.4581114627497271,-7.3679229999997915,827.64
1246,128,0.004290000000764849,1.367247621327917,-7.372213000000556,831.248
1247,129,0.010731000000305357,1.2824653324949413,-7.382944000000862,841.648
1248,130,0.2092319999992469,1.2153882492139605,-7.592176000000109,852.048
1249,131,0.006707000000460539,1.1398456711381169,-7.598883000000569,856.024
1250,132,0.9920099999999366,1.1306059416919805,-8.590893000000506,866.424
1251,133,0.006949000000531669,1.0603773828362648,-8.597842000001037,876.824
1252,134,0.004224000000249362,0.9943677964090138,-8.602066000001287,879.216
1253,135,0.2093829999994341,0.9453062466334151,-8.81144900000072,889.616
1254,136,0.08549700000003213,0.8915681687188287,-8.896946000000753,900.016
1255,137,0.0010789999996632105,0.8359125956738809,-8.898025000000416,900.816
1278,138,72.02290499999981,0.9100996209442515,-10.920930000000226,892.968
1279,139,0.15622799999982817,0.862982644635225,-11.077158000000054,897.456
1280,140,0.28286800000023504,0.8267254793455381,-11.360026000000289,907.856
1281,141,0.009853999999904772,0.7756710118864361,-11.369880000000194,918.256
1282,142,0.004259000001184177,0.7274577611436078,-11.374139000001378,922.56
1283,143,0.38054299999930663,0.705775588572089,-11.754682000000685,932.96
1284,144,0.014994999999544234,0.6626018017863049,-11.769677000000229,943.36
1285,145,0.05967600000076345,0.6249189391747085,-11.829353000000992,949.496
1286,146,0.5327710000001389,0.6191596929762979,-12.362124000001131,959.896
1287,147,0.003811999999015825,0.5807004621652178,-12.365936000000147,970.296
1288,148,0.0008030000008147908,0.5444568707799425,-12.366739000000962,974.576
1289,149,0.004058999998960644,0.5106820038561312,-12.370797999999922,984.976
1290,150,0.010657000000719563,0.4794304411151679,-12.381455000000642,995.376
1291,151,0.0034510000004956964,0.4496817260455009,-12.384906000001138,999.144
1315,152,59.44520899999952,1.0812510556676869,-1.83011500000066,983.728
1316,153,2.0349409999998898,1.1408566771884496,-3.86505600000055,987.952
1317,154,4.314270000000761,1.3391950098642191,-8.17932600000131,998.352
1318,155,0.1574110000001383,1.265333509247714,-8.336737000001449,1008.752
1319,156,0.0012369999985821778,1.1863274774196433,-8.337974000000031,1010.056
1320,157,0.31851500000084343,1.1320891975809684,-8.656489000000875,1020.456
1321,158,0.0012389999992592493,1.0614110602321116,-8.657728000000134,1030.856
1322,159,0.006719000000884989,0.9954928064676599,-8.664447000001019,1036.024
1323,160,0.16990699999951175,0.9438936935634007,-8.83435400000053,1046.424
1324,161,0.1183839999994234,0.8922993377156521,-8.952737999999954,1056.824
1325,162,0.006348000000798493,0.8369273791084737,-8.959086000000752,1059.024
1326,163,0.005887999999686144,0.7849874179141745,-8.964974000000439,1069.424
1327,164,0.1687660000006872,0.7464735792945816,-9.133740000001126,1079.824
1328,165,0.00485099999968952,0.7001221680886508,-9.138591000000815,1081.328
1350,166,86.45327799999905,0.8780346575831698,-5.5918689999998605,1056.32
1351,167,3.0083700000013778,1.0111806164843078,-8.600239000001238,1060.256
1352,168,0.3542249999991327,0.9701208904539843,-8.954464000000371,1070.656
1353,169,0.008084000000962988,0.9099935848006705,-8.962548000001334,1081.056
1354,170,0.06419499999901745,0.8571311732505672,-9.026743000000351,1083.928
1355,171,0.0564940000003844,0.8070913499224308,-9.083237000000736,1094.328
1356,172,0.010291000000506756,0.7572913280523106,-9.093528000001243,1104.728
1357,173,0.005282999998598825,0.7102908075489536,-9.098810999999841,1110.28
1358,174,0.21025100000042585,0.6790383195771705,-9.309062000000267,1120.68
1359,175,0.009807000000364496,0.6372113621036202,-9.318869000000632,1131.08
1360,176,0.004224000000249362,0.5976496519721595,-9.323093000000881,1132.568
1361,177,0.23811600000044564,0.5751787987239274,-9.561209000001327,1142.968
1362,178,0.0014709999995830003,0.5393220613036559,-9.56268000000091,1153.368
1363,179,0.0013939999989815988,0.5057015574721138,-9.564073999999891,1154.088
1379,180,38.99797800000124,0.5367215851300291,-8.562052000001131,1123.28
1380,181,2.026998999999705,0.6298639235593838,-10.589051000000836,1124.736
1381,182,0.5324060000002646,0.6237728033369389,-11.1214570000011,1135.136
1382,183,0.004483999999138177,0.5850672531283263,-11.125941000000239,1141.592
1383,184,0.010722000000896514,0.549170674807862,-11.136663000001136,1151.992
1384,185,0.007258999999976368,0.5153011951323692,-11.143922000001112,1159.152
1385,186,0.7264479999994364,0.5284978704365608,-11.870370000000548,1169.552
1386,187,0.004256000000168569,0.4957327535342863,-11.874626000000717,1174.832
1387,188,0.01002399999924819,0.46537595643834645,-11.884649999999965,1185.232
1388,189,0.0047350000004371395,0.43658589666097714,-11.889385000000402,1190.16
1414,190,91.43997599999966,0.9443007781196873,-3.3293610000000626,1154.32
1416,191,10.197654000001421,1.5226353544872957,-13.527015000001484,1155.384
1417,192,0.10054799999852548,1.4337548948317476,-13.62756300000001,1165.784
1418,193,1.0972700000002078,1.4127245889047764,-14.724833000000217,1169.848
1419,194,0.10465500000100292,1.3309702395982905,-14.82948800000122,1180.248
1420,195,0.005258999999568914,1.2481132871233704,-14.834747000000789,1186.128
1421,196,0.010408000000097672,1.170756706678166,-14.845155000000887,1196.528
1422,197,0.003883999999743537,1.0978271625107645,-14.84903900000063,1200.152
1423,198,0.010453000000779866,1.0298662773538905,-14.85949200000141,1210.552
1425,199,0.05279099999825121,0.968799072519163,-14.912282999999661,1215.224
1446,200,54.014916000000085,1.28231688048671,-8.927198999999746,1167.344
1447,201,0.4145360000002256,1.2280805754563047,-9.341734999999971,1167.992
1448,202,0.005672999999660533,1.1516801019902645,-9.347407999999632,1178.392
1449,203,0.004312000000936678,1.0799695956159314,-9.351720000000569,1183.872
1450,204,0.23741899999913585,1.0273101833898817,-9.589138999999705,1194.272
1451,205,0.005534000001716777,0.9634491719281214,-9.594673000001421,1199.464
1452,206,0.10118699999839009,0.9095577861825132,-9.695859999999811,1209.864
1453,207,0.00494299999991199,0.8530193620461006,-9.700802999999723,1215.088
1454,208,0.34359000000040396,0.8211800269182445,-10.044393000000127,1225.488
1455,209,0.004570000000967411,0.7701419002359147,-10.048963000001095,1230.128
1471,210,32.72778399999879,1.1765215314712454,-2.7767469999998866,1240.528
1472,211,1.0832060000011552,1.1706893107543648,-3.859953000001042,1218.752
1473,212,2.2286669999994047,1.2368129163321797,-6.0886200000004465,1213.768
1474,213,3.835297999999966,1.3992182340614163,-9.923918000000413,1194.024
1475,214,0.062046000000918866,1.3156449694326353,-9.985964000001331,1204.424
1476,215,0.0370439999987866,1.2357324088430197,-10.023008000000118,1214.824
1477,216,0.0011210000011487864,1.1585691957904027,-10.024129000001267,1215.8
1478,217,0.482412999999724,1.1163094335534853,-10.50654200000099,1226.2
1479,218,0.20145199999933538,1.059130843956351,-10.707994000000326,1235.568
1480,219,0.06521400000019639,0.9970110412090912,-10.773208000000523,1245.968
1481,220,0.10614999999961583,0.941332226133499,-10.879358000000138,1254.2
1502,221,94.83614300000045,1.2052400245001273,-5.715501000000586,1206.6
1503,222,0.004225999999107444,1.1301766479688136,-5.719726999999693,1209.376
1504,223,0.16708100000141712,1.0699831699708513,-5.8868080000011105,1219.776
1505,224,1.554017999998905,1.1002353468476047,-7.4408260000000155,1230.176
1506,225,1.1625390000008338,1.1041293251696815,-8.60336500000085,1233.112
1507,226,0.2514549999996234,1.050837179846553,-8.854820000000473,1243.512
1508,227,0.3010869999998249,1.0039777936061325,-9.155907000000298,1253.912
1509,228,0.0008319999997183913,0.9412811815057316,-9.156739000000016,1260.712
1510,229,0.060967000001255656,0.8862615451617019,-9.217706000001272,1271.112
1511,230,0.31138999999893713,0.8503320735890291,-9.529096000000209,1281.512
1512,231,0.0007569999997940613,0.7972336314897018,-9.529853000000003,1284.368
1513,232,0.18882400000074995,0.7592080295216423,-9.718677000000753,1294.768
1514,233,0.170217999999295,0.7223961526764956,-9.888895000000048,1305.168
1515,234,0.279978000000483,0.6947450181342448,-10.16887300000053,1306.584
1543,235,53.54693699999916,1.0546398920009068,-3.715809999999692,1250.352
1544,236,1.93684900000153,1.1097779612509457,-5.652659000001222,1251.648
1545,237,0.2909459999991668,1.0586009636727096,-5.943605000000389,1262.048
1546,238,1.0939959999996063,1.0608131534431406,-7.037600999999995,1268.248
1547,239,1.7872180000013032,1.106213456353026,-8.824819000001298,1278.648
1548,240,0.0037319999992178055,1.037308365330913,-8.828551000000516,1286.4
1549,241,0.000744999999369611,0.9725231549976915,-8.829295999999886,1296.8
1550,242,0.2887280000013561,0.9297859578104205,-9.118024000001242,1302.544
1551,243,0.00377200000002631,0.8719100854472709,-9.121796000001268,1312.944
1552,244,0.0007150000001274748,0.8174603926068245,-9.122511000001396,1317.864
1557,245,35.66759599999932,1.0371443680689403,-4.790107000000717,1267.248
1567,246,0.9843180000007123,1.033842720064676,-5.774425000001429,1275.888
1568,247,0.3269659999987198,0.9896629250605538,-6.101391000000149,1281.696
1569,248,2.2167910000007396,1.0663584297443154,-8.318182000000888,1292.096
1570,249,0.3885969999992085,1.0239983403852462,-8.706779000000097,1300.528
1571,250,0.0076710000012099044,0.9604778816112439,-8.714450000001307,1310.928
1572,251,0.22278299999925366,0.9143719515104946,-8.93723300000056,1317.008
1573,252,0.0010480000000825385,0.8572892045410938,-8.938281000000643,1327.408
1574,253,0.22401200000058452,0.817709379257312,-9.162293000001227,1331.912
1596,254,97.82292599999892,0.9026696680537978,-6.985219000000143,1289.256
1597,255,0.08773000000110187,0.8517359388005042,-7.072949000001245,1299.656
1598,256,0.006190000000060536,0.7988893176254765,-7.079139000001305,1304.992
1599,257,0.009484999998676358,0.7495515477738015,-7.088623999999982,1315.392
1600,258,0.8804280000003928,0.7577313260379634,-7.969052000000374,1321.6
1601,259,0.012224000000060187,0.7111371181605946,-7.981276000000435,1332
1602,260,0.007192999999460881,0.6671406107755237,-7.9884689999998955,1337.104
1603,261,0.00787800000034622,0.625936697602075,-7.996347000000242,1347.504
1604,262,0.06785300000046846,0.5910564665019746,-8.06420000000071,1350.92
1623,263,57.53163999999924,0.7083879373456485,-5.595839999999953,1256.28
1624,264,0.24807000000146218,0.6796180662616369,-5.843910000001415,1266.68
1625,265,4.465942999999243,0.9162633746202372,-10.309853000000658,1272.512
1626,266,0.008389000000533997,0.8595212262065057,-10.318242000001192,1282.912
1627,267,0.005169000000023516,0.8061242120686006,-10.323411000001215,1289.576
1628,268,0.0103819999985717,0.7563903238142238,-10.333792999999787,1299.976
1629,269,0.005660000000716536,0.7094696785758796,-10.339453000000503,1306.16
1630,270,0.04090299999916169,0.6676842611648347,-10.380355999999665,1316.56
1631,271,0.42091900000013993,0.6522614323420413,-10.801274999999805,1321.152
1652,272,59.00386500000059,1.298753530320627,0.19485999999960768,1253.952
1653,273,0.010154999999940628,1.218216122175584,0.18470499999966705,1264.352
1655,274,6.593387999999322,1.5541643645395677,-6.408682999999655,1270.936
1656,275,0.007636000000275089,1.457506341755862,-6.41631899999993,1281.336
1657,276,0.04672300000129326,1.3693323828962014,-6.463042000001224,1289.864
1658,277,0.01029000000016822,1.2843922339651994,-6.473332000001392,1300.264
1659,278,0.24496299999918847,1.2194279068423237,-6.71829500000058,1307.312
1660,279,0.01153599999997823,1.1439346626646771,-6.729831000000559,1317.712
1661,280,0.005229000000326778,1.0727655587481553,-6.735060000000885,1323.088
1697,281,67.18690699999934,1.181536023826437,-3.9219670000002225,1323.088
1698,282,0.0010020000008807983,1.1077526473373398,-3.9229690000011033,1323.936
1699,283,5.041628999999375,1.353619919378717,-8.964598000000478,1286.016
1700,284,0.4004210000002786,1.2940449869175648,-9.365019000000757,1296.416
1701,285,0.0034849999992729863,1.2133849877351714,-9.36850400000003,1298.616
1702,286,0.007859999999709544,1.138039676001705,-9.37636399999974,1309.016
1703,287,0.2140400000007503,1.0802896962516455,-9.59040400000049,1319.416
1704,288,0.0030559999995602993,1.01296259023589,-9.59346000000005,1323.136
1705,289,0.008668000000398024,0.9501941783461718,-9.602128000000448,1333.536
1706,290,0.23112600000058592,0.9052524171995727,-9.833254000001034,1343.576
1707,291,0.24441899999874295,0.8639503286245208,-10.077672999999777,1353.976
1708,292,0.0076200000003154855,0.810429683085508,-10.085293000000092,1363.208
1726,293,52.536151000000245,1.2262683903926486,-2.621444000000338,1241.448
1727,294,0.25854900000013004,1.1657859284931162,-2.879993000000468,1244.856
1728,295,2.5428179999998974,1.2518504329622901,-5.422811000000365,1255.256
1729,296,0.34484100000008766,1.1951623434021525,-5.767652000000453,1265.656
1730,297,1.049127000000226,1.1860351344395321,-6.816779000000679,1272.088
1731,298,0.4028230000003532,1.1370843760370835,-7.219602000001032,1282.488
1732,299,0.07096699999965494,1.0704520400347441,-7.290569000000687,1292.888
1733,300,0.11002600000028906,1.0104254125325907,-7.400595000000976,1301.296
1734,301,0.2842189999992115,0.9650375117492545,-7.684814000000188,1311.696
1735,302,0.006683999999950174,0.9051404172649229,-7.691498000000138,1322.096
1736,303,0.12274400000023888,0.8562406411858802,-7.814242000000377,1327.216
1737,304,0.10940300000038405,0.8095632886117866,-7.923645000000761,1337.616
1738,305,0.010169999999561696,0.7596012080735226,-7.9338150000003225,1348.016
1739,306,0.00414699999964796,0.7123853200689054,-7.93796199999997,1352.024
1761,307,68.28796599999987,0.774863362564607,-6.22592799999984,1245.848
1762,308,0.0018340000005991897,0.7265490274043565,-6.227762000000439,1256.248
1763,309,5.44677000000047,1.0215628381916135,-11.674532000000909,1266.648
1764,310,0.009029999999256688,0.9582795358045912,-11.683562000000165,1277.048
1765,311,0.006115000000136206,0.8987692523168128,-11.689677000000302,1283.72
1767,312,0.9047840000002907,0.8991451740470302,-12.594461000000592,1294.12
1768,313,0.0015889999995124526,0.8430479131690604,-12.596050000000105,1304.52
1769,314,0.009669000000940287,0.7909617310960528,-12.605719000001045,1314.92
1770,315,0.33901200000036624,0.7627148729025724,-12.944731000001411,1325.32
1771,316,0.007567999999082531,0.7155181933461043,-12.952299000000494,1335.72
1772,317,0.005660000000716536,0.6711520562620176,-12.95795900000121,1341.264
1773,318,0.010206999999354593,0.6298429902456011,-12.968166000000565,1351.664
1774,319,0.20713099999920814,0.6034234908552015,-13.175296999999773,1362.064
1775,320,0.008685000000696164,0.566252335176795,-13.18398200000047,1372.464
1776,321,0.23209099999985483,0.5453672517282362,-13.416073000000324,1382.864
1777,322,0.010011000000304193,0.5119074859952404,-13.426084000000628,1393.264
1778,323,0.06254099999932805,0.48382208062049586,-13.488624999999956,1400.424
1779,324,0.28313300000081654,0.4712790130817659,-13.771758000000773,1410.824
1780,325,0.0015359999997599516,0.4419200747641405,-13.773294000000533,1421.224
1781,326,0.39127299999927345,0.43875463259133635,-14.164566999999806,1431.624
1782,327,0.00766000000112399,0.4118112180544481,-14.17222700000093,1442.024
1783,328,0.39179499999954714,0.41056020442601676,-14.564022000000477,1452.424
1784,329,0.006586999999854015,0.3853118791493816,-14.570609000000331,1457.92
1785,330,0.005341000000044005,0.361563699202548,-14.575950000000375,1468.32
1786,331,0.010529999999562278,0.3396240930023614,-14.586479999999938,1478.72
1787,332,0.01042800000141142,0.31904933718980205,-14.59690800000135,1489.12
1788,333,0.34720000000015716,0.32080875361544925,-14.944108000001506,1499.52
1789,334,0.007371999998213141,0.30121895651437197,-14.95147999999972,1508.176
1812,335,61.23316500000146,0.8303199592321322,-6.184645000001183,1410.576
1813,336,0.012194999999337597,0.7791871492800826,-6.19684000000052,1417.08
1814,337,0.002185999999710475,0.7306245774500594,-6.199026000000231,1427.48
1815,338,0.4508079999995971,0.7131360413594054,-6.649833999999828,1430.232
1816,339,0.012468000000808388,0.6693442887744931,-6.662302000000636,1440.632
1817,340,0.0021720000004279427,0.6276460207261141,-6.664474000001064,1443.2
1818,341,0.48033099999884143,0.6184388319306595,-7.144804999999906,1453.6
1819,342,0.0022450000014941907,0.5799267174350867,-7.1470500000014,1454.88
