#Delta (ms);Jitter (ms);Skew(ms);IP BW (kbps)
0,00;0,00;0,00;10,40
3,41;0,21;-3,41;20,80
0,43;0,23;-3,84;31,20
0,04;0,21;-3,88;37,78
2,73;0,37;-6,61;48,18
0,49;0,38;-7,10;58,58
0,02;0,36;-7,12;63,47
0,01;0,34;-7,13;73,87
0,35;0,34;-7,47;84,27
0,05;0,32;-7,52;88,61
0,00;0,30;-7,52;99,01
0,00;0,28;-7,52;109,41
0,27;0,28;-7,79;113,70
3,70;0,49;-11,48;124,10
0,21;0,47;-11,69;134,50
0,00;0,44;-11,69;136,52
128,64;5,96;-100,33;143,98
1,49;5,68;-101,81;146,67
0,00;5,32;-101,82;149,43
0,00;4,99;-101,82;152,02
0,34;4,70;-102,15;154,77
58,66;10,74;-0,81;163,30
1,20;10,14;-2,01;167,34
0,00;9,51;-2,01;171,72
6,17;9,30;-8,19;176,43
0,67;8,76;-8,86;180,58
57,47;9,00;3,67;189,53
4,96;8,75;-1,29;196,26
0,03;8,20;-1,33;202,50
0,48;7,72;-1,80;209,49
0,04;7,24;-1,84;215,99
72,41;6,94;-4,25;224,58
0,99;6,56;-5,24;233,02
0,17;6,17;-5,41;241,61
0,24;5,79;-5,65;249,92
0,01;5,43;-5,66;257,20
59,52;5,12;-5,18;266,50
0,26;4,82;-5,44;276,03
0,01;4,52;-5,45;285,72
0,02;4,24;-5,47;295,46
0,01;3,97;-5,48;303,44
61,46;4,26;3,05;312,74
3,56;4,22;-0,50;323,14
0,79;4,00;-1,29;324,78
3,54;3,97;-4,83;335,18
0,00;3,72;-4,83;338,10
0,06;3,49;-4,89;348,50
1,29;3,36;-6,18;350,36
2,51;3,30;-8,70;360,76
0,00;3,10;-8,70;361,72
64,84;3,23;-3,53;371,42
0,07;3,03;-3,60;381,82
0,01;2,84;-3,61;385,30
0,94;2,72;-4,55;395,70
0,00;2,55;-4,55;400,68
2,56;2,55;-7,12;411,08
0,71;2,44;-7,82;414,54
0,47;2,31;-8,29;424,94
0,01;2,17;-8,30;427,74
55,71;2,30;-4,01;436,78
0,17;2,17;-4,18;447,18
0,00;2,03;-4,18;448,74
0,20;1,92;-4,38;459,14
3,73;2,03;-8,10;462,29
0,01;1,91;-8,11;472,69
0,04;1,79;-8,15;474,42
0,01;1,68;-8,16;484,82
0,00;1,57;-8,16;485,74
64,07;1,85;-2,23;495,01
0,67;1,77;-2,90;505,41
0,20;1,67;-3,10;508,92
0,01;1,57;-3,12;519,32
0,00;1,47;-3,12;524,51
0,18;1,39;-3,30;534,91
0,95;1,36;-4,25;539,39
0,22;1,29;-4,47;549,79
0,00;1,21;-4,47;552,37
64,06;1,51;1,46;561,66
0,01;1,41;1,46;572,06
0,56;1,36;0,90;574,96
5,11;1,59;-4,21;585,36
0,01;1,50;-4,22;589,13
0,09;1,41;-4,31;599,53
0,01;1,32;-4,31;602,91
0,17;1,25;-4,48;613,31
0,31;1,19;-4,79;615,07
100,23;1,13;-5,02;624,31
0,32;1,08;-5,34;634,71
0,19;1,02;-5,53;639,58
0,01;0,96;-5,54;649,98
0,09;0,91;-5,63;656,05
0,83;0,90;-6,46;666,45
4,62;1,13;-11,08;671,24
0,01;1,06;-11,09;681,64
0,00;1,00;-11,10;685,09
14,47;1,91;4,44;695,49
9,58;2,39;-5,14;696,13
0,03;2,24;-5,17;706,53
0,07;2,10;-5,24;714,90
0,09;1,98;-5,34;725,30
1,07;1,92;-6,41;734,83
0,22;1,81;-6,63;745,23
0,39;1,73;-7,02;753,55
0,01;1,62;-7,03;763,95
0,01;1,52;-7,04;769,80
68,47;1,52;-5,51;778,74
5,20;1,75;-10,71;789,14
0,62;1,68;-11,33;795,58
0,01;1,57;-11,34;805,98
0,01;1,48;-11,35;812,83
0,01;1,38;-11,36;823,23
0,01;1,30;-11,36;830,49
0,47;1,25;-11,83;840,89
0,00;1,17;-11,84;846,46
89,11;1,78;-0,95;720,34
4,10;1,92;-5,05;721,36
1,59;1,90;-6,65;731,76
0,18;1,79;-6,83;739,29
