Sequence,Time stamp,Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps),,Sequence,Time stamp,Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
0,285265843,"0,00","0,00","0,00","1,02",,0,285265843,"0,00","0,00","0,00","1,02"
1,285266803,"21,33","0,08","-1,33","2,16",,1,285266803,"21,23","0,08","-1,23","2,16"
2,285267763,"8,58","0,79","10,10","3,32",,2,285267763,"28,65","0,61","-9,88","3,32"
3,285268723,"30,86","1,42","-0,76","4,49",,3,285268723,"5,11","1,51","5,01","4,49"
4,285269683,"8,92","2,02","10,32","5,65",,4,285269683,"9,28","2,08","15,73","5,65"
5,285270643,"19,89","1,90","10,42","6,67",,5,285270643,"42,67","3,37","-6,93","6,67"
6,285271603,"29,50","2,38","0,93","7,74",,6,285271603,"26,19","3,54","-13,13","7,74"
7,285272563,"20,08","2,24","0,85","8,77",,7,285272563,"0,25","4,56","6,63","8,77"
8,285273523,"21,30","2,18","-0,45","9,82",,8,285273523,"50,86","6,20","-24,23","9,82"
9,285274483,"8,98","2,73","10,57","10,90",,9,285274483,"0,99","7,00","-5,22","10,90"
10,285275443,"20,33","2,58","10,24","11,98",,10,285275443,"5,72","7,46","9,06","11,98"
11,285276403,"29,77","3,03","0,47","13,06",,11,285276403,"25,29","7,32","3,77","13,06"
12,285277363,"11,19","3,39","9,28","14,10",,12,285277363,"15,29","7,16","8,48","14,10"
13,285278323,"19,10","3,23","10,18","15,13",,13,285278323,"17,95","6,84","10,53","15,13"
14,285279283,"31,01","3,72","-0,82","16,11",,14,285279283,"33,22","7,24","-2,69","16,11"
15,285280243,"0,02","4,74","19,16","17,16",,16,285281203,"28,14","7,53","9,17","17,15"
16,285281203,"39,15","5,64","0,01","18,20",,17,285282163,"46,38","8,71","-17,21","18,14"
17,285282163,"19,25","5,33","0,76","19,18",,18,285283123,"23,94","8,41","-21,15","19,15"
18,285283123,"19,91","5,00","0,85","20,20",,19,285284083,"6,12","8,75","-7,27","20,15"
19,285284083,"9,83","5,33","11,03","21,20",,20,285285043,"27,95","8,70","-15,22","21,16"
20,285285043,"30,68","5,66","0,34","22,21",,21,285286003,"2,46","9,25","2,32","22,19"
21,285286003,"19,91","5,31","0,44","23,24",,22,285286963,"38,99","9,86","-16,67","23,20"
22,285286963,"19,90","4,99","0,54","24,25",,23,285287923,"1,43","10,41","1,90","24,22"
23,285287923,"10,22","5,29","10,32","25,26",,24,285288883,"20,89","9,81","1,01","25,29"
24,285288883,"30,37","5,61","-0,05","26,34",,25,285289843,"9,84","9,83","11,17","26,34"
25,285289843,"19,71","5,27","0,25","27,39",,26,285290803,"23,67","9,45","7,50","27,42"
26,285290803,"20,17","4,96","0,08","28,46",,27,285291763,"41,56","10,20","-14,06","28,44"
27,285291763,"9,39","5,31","10,68","29,49",,28,285292723,"21,14","9,64","-15,20","29,50"
28,285292723,"29,97","5,60","0,71","30,54",,29,285293683,"0,00","10,29","4,80","30,49"
29,285293683,"20,28","5,27","0,43","31,54",,30,285294643,"14,45","9,99","10,34","31,52"
30,285294643,"19,43","4,97","1,00","32,57",,31,285295603,"29,22","9,94","1,13","32,58"
31,285295603,"10,09","5,28","10,91","33,63",,32,285296563,"14,11","9,69","7,02","33,66"
32,285296563,"30,91","5,63","0,00","34,71",,33,285297523,"46,91","10,76","-19,89","34,74"
33,285297523,"20,40","5,31","-0,40","35,79",,35,285299443,"31,12","10,65","-11,01","35,86"
34,285298483,"8,99","5,66","10,61","36,87",,36,285300403,"17,14","10,16","-8,15","37,04"
35,285299443,"20,93","5,37","9,68","37,98",,37,285301363,"21,21","9,60","-9,35","38,04"
